job_title,task
Environmental Intern / Co-op,"Analyze data acquired from aircraft, satellites, or ground-based platforms, using statistical analysis software, image analysis software, or Geographic Information Systems (GIS)."
Environmental Intern / Co-op,Apply traditional ecological knowledge and assessments of culturally distinctive land and resource management institutions to assist in the resolution of conflicts over habitat protection and resource enhancement.
Environmental Intern / Co-op,"Assess archeological sites for resource management, development, or conservation purposes and recommend methods for site protection."
Environmental Intern / Co-op,"Assess the environmental impact or energy efficiency of logistics activities, using carbon mitigation software."
Environmental Intern / Co-op,"Compile water resource data, using geographic information systems (GIS) or global position systems (GPS) software."
Environmental Intern / Co-op,"Conduct harsh environmental testing, accelerated aging, device characterization, or field trials to validate devices, using inspection tools, testing protocols, peripheral instrumentation, or modeling and simulation software."
Environmental Intern / Co-op,"Conduct research, data analysis, systems design, or support for software such as Geographic Information Systems (GIS) or Global Positioning Systems (GPS) mapping software."
Environmental Intern / Co-op,Coordinate public responses to environmental management incidents or conflicts.
Environmental Intern / Co-op,"Create diagrams to communicate environmental remediation planning, using geographic information systems (GIS), computer-aided design (CAD), or other mapping or diagramming software."
Environmental Intern / Co-op,"Create environmental models or simulations, using geographic information system (GIS) data and knowledge of particular ecosystems or ecological regions."
Environmental Intern / Co-op,"Create, manage, or automate orders or invoices, using order management or invoicing software."
Environmental Intern / Co-op,"Demonstrate the applications of geospatial technology, such as Global Positioning System (GPS), geographic information systems (GIS), automatic tractor guidance systems, variable rate chemical input applicators, surveying equipment, or computer mapping software."
Market Development Analyst,"Collect data relating to commercial or residential development, population, or power system interconnection to determine operating efficiency of electrical systems."
Market Development Analyst,"Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews."
Market Development Analyst,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
Market Development Analyst,"Analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure."
Market Development Analyst,"Compile, analyze, and report data to explain economic phenomena and forecast market trends, applying mathematical models and statistical techniques."
Market Development Analyst,"Analyze, interpret, or create graphical representations of energy data, using engineering software."
Market Development Analyst,"Participate in all levels of bioproduct development, including proposing new products, performing market analyses, designing and performing experiments, and collaborating with operations and quality control teams during product launches."
Market Development Analyst,"Design, implement, or operate comprehensive data warehouse systems to balance optimization of data access with batch loading and resource utilization factors, according to customer requirements."
Market Development Analyst,"Advise clients or colleagues on topics such as climate control systems, energy modeling, data logging, sustainable design, or energy auditing."
